anthropic_task,anthropic_norm,onet_match_norm,score
"administer highway planning, construction, or maintenance.",administer highway planning construction or maintenance,administer construction contracts,65.90909090909092
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,administer standardized ability and achievement tests and interpret results to determine students strengths and areas of need,administer standardized ability and achievement tests and interpret results to determine students strengths and needs,95.86776859504133
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",advise food service managers and organizations on sanitation safety procedures menu development budgeting and planning to assist with the establishment operation and evaluation of food service facilities and nutrition programs,advise food service managers and organizations on sanitation safety procedures menu development budgeting and planning to assist with establishment operation and evaluation of food service facilities and nutrition programs,99.10714285714286
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",advise patients and their families on nutritional principles dietary plans and diet modifications and food selection and preparation,advise patients and their families on nutritional principles dietary plans diet modifications and food selection and preparation,98.46153846153847
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",advise retail customers or internal users on the appropriateness of parts supplies or materials requested,read work orders or receive oral instructions to determine work assignments or material or equipment needs,57.81990521327014
analyze and classify risks and investments to determine their potential impacts on companies.,analyze and classify risks and investments to determine their potential impacts on companies,inspect facilities or installations to determine their environmental impact,59.88023952095809
analyze and evaluate robotic systems or prototypes.,analyze and evaluate robotic systems or prototypes,evaluate robotic systems or prototypes,86.36363636363636
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",analyze data such as interview notes test results and reference manuals to identify symptoms and to diagnose the nature of clients problems,analyze records reports test results or examination information to diagnose medical condition of patient,57.61316872427984
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,analyze data to assess distance learning program status or to inform decisions for distance learning programs,analyze training needs to develop new training programs or modify and improve existing programs,58.82352941176471
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",analyze geographic information systems gis data to identify spatial relationships or display results of analyses using maps graphs or tabular data,maintain geographic information systems laboratories performing duties such as updating software,55.37190082644627
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",analyze information to determine recommend and plan computer specifications and layouts and peripheral equipment modifications,analyze information to determine recommend and plan layout including type of computers and peripheral equipment modifications,83.66533864541833
analyze market conditions to determine optimum times to execute securities transactions.,analyze market conditions to determine optimum times to execute securities transactions,analyze market conditions to determine acreage allocations,68.96551724137932
analyze potential loan markets to find opportunities to promote loans and financial services.,analyze potential loan markets to find opportunities to promote loans and financial services,analyze potential loan markets and develop referral networks to locate prospects for loans,60.439560439560445
analyze product complaints and make recommendations regarding their reportability.,analyze product complaints and make recommendations regarding their reportability,evaluate new technologies and methods to make recommendations regarding their use,65.4320987654321
analyze target companies or investment opportunities to inform investment decisions.,analyze target companies or investment opportunities to inform investment decisions,analyze storm water systems to identify opportunities for water resource improvements,58.33333333333333
"answer inquiries regarding information such as schedules, accommodations, procedures, and policies.",answer inquiries regarding information such as schedules accommodations procedures and policies,answer inquiries regarding information such as schedules accommodations procedures or policies,97.35449735449735
"appraise, evaluate, and inventory real property and equipment, recording information such as the description, value, and location of property.",appraise evaluate and inventory real property and equipment recording information such as the description value and location of property,package and label semen to be used for artificial insemination recording information such as the date source quality and concentration,58.518518518518526
"arrange financing of deals from sources such as financial institutions, agencies, or public or private companies.",arrange financing of deals from sources such as financial institutions agencies or public or private companies,analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies,54.54545454545454
arrange reservations for patrons of dining establishments.,arrange reservations for patrons of dining establishments,arrange for demonstrations or trial installations of equipment,62.18487394957983
assemble documentation packages and produce drawing sets which are checked by an engineer or an architect.,assemble documentation packages and produce drawing sets which are checked by an engineer or an architect,assemble documentation packages and produce drawing sets to be checked by an engineer or an architect,95.14563106796116
"assess current or future customer needs and priorities through communicating directly with customers, conducting surveys, or other methods.",assess current or future customer needs and priorities through communicating directly with customers conducting surveys or other methods,assess current or future customer needs and priorities by communicating directly with customers conducting surveys or other methods,96.62921348314607
